Bike_Model,Age,Service_Type,Service_History,Service_Time (hours:minutes),Build_Year,Mileage (km),Last_Serviced_Date (months),Current_Year
Yamaha FZ V3,1,Chain Inspection,15,-2:51,2022,33889,-2,2023
Yamaha FZ V2,3,Fork Oil Change,11,05:64,2020,44701,4,2023
Yamaha R15 V3,5,Coolant Oil Change,10,02:56,2018,45597,14,2023
Yamaha FZ V2,10,Complete Check Up,34,17:09,2013,21794,9,2023
Yamaha FZ V1,8,Brake Fluid Change,25,08:-27,2015,6949,3,2023
Yamaha R15 V3,2,Coolant Oil Change,3,00:14,2021,34151,9,2023
Yamaha FZ V3,2,Brake Inspection,28,00:37,2021,21131,5,2023
Yamaha FZ 250,4,Oil Change,28,02:18,2019,22572,7,2023
Yamaha FZ V1,1,Complete Check Up,7,03:-15,2022,12357,2,2023
Yamaha R15 V4,4,Coolant Oil Change,4,01:29,2019,37876,6,2023
Yamaha FZ X,5,Coolant Oil Change,3,05:19,2018,28402,2,2023
Yamaha FZ X,6,Coolant Oil Change,25,08:47,2017,27194,3,2023
Yamaha FZ X,8,Brake Inspection,17,09:26,2015,56807,8,2023
Yamaha MT15 v2,9,Air Filter Change,25,09:07,2014,41899,9,2023
Yamaha FZ V3,5,Brake Fluid Change,12,06:43,2018,11230,14,2023
Yamaha FZ V2,11,Air Filter Change,19,09:09,2012,42860,9,2023
Yamaha R15 V3,11,Complete Check Up,10,21:04,2012,52811,0,2023
Yamaha MT15 v2,8,Coolant Oil Change,5,09:10,2015,26737,6,2023
Yamaha FZ 250,9,Oil Change,14,10:-27,2014,20682,2,2023
Yamaha MT15 v2,13,Chain Inspection,6,16:38,2010,26215,-2,2023
Yamaha R15 V3,1,Air Filter Change,18,01:-25,2022,12809,5,2023
Yamaha FZ V2,0,Fork Oil Change,1,-1:23,2023,10307,5,2023
Yamaha R15 V4,4,Brake Fluid Change,-1,05:17,2019,50962,8,2023
Yamaha FZ 250,9,Brake Fluid Change,9,07:22,2014,45796,2,2023
Yamaha MT15 v1,2,Coolant Oil Change,11,05:-5,2021,9546,15,2023
Yamaha MT15 v1,7,Air Filter Change,1,10:-10,2016,45733,1,2023
Yamaha R15 V2,3,Complete Check Up,6,06:18,2020,11473,10,2023
Yamaha R15 V4,1,Air Filter Change,9,04:39,2022,23044,10,2023
Yamaha MT15 v1,1,Complete Check Up,3,03:33,2022,1005,10,2023
Yamaha MT15 v2,1,Brake Inspection,12,03:38,2022,10459,7,2023
Yamaha MT15 v2,13,Fork Oil Change,26,15:39,2010,28680,9,2023
Yamaha R15 V2,0,Oil Change,10,-1:45,2023,29428,7,2023
Yamaha FZ V3,7,Fork Oil Change,1,09:58,2016,40553,8,2023
Yamaha R15 V4,12,Chain Inspection,21,13:15,2011,25547,4,2023
Yamaha R15 V2,13,Brake Fluid Change,14,12:39,2010,58544,12,2023
Yamaha R15 V2,3,Air Filter Change,6,03:61,2020,8939,11,2023
Yamaha R15 V3,0,Complete Check Up,1,-3:20,2023,1672,9,2023
Yamaha R15 V1,10,Brake Inspection,25,13:17,2013,57530,11,2023
Yamaha R15 V4,3,Brake Inspection,30,02:08,2020,42032,10,2023
Yamaha R15 V2,13,Brake Fluid Change,16,13:46,2010,12702,4,2023
Yamaha R15 V4,3,Fork Oil Change,22,06:69,2020,30832,12,2023
Yamaha R15 V1,3,Coolant Oil Change,16,00:14,2020,36172,0,2023
Yamaha R15 V4,13,Brake Inspection,16,16:23,2010,39497,12,2023
Yamaha MT15 v2,4,Brake Fluid Change,14,04:79,2019,41277,-1,2023
Yamaha FZ V2,11,Fork Oil Change,26,11:46,2012,58512,7,2023
Yamaha R15 V2,3,Complete Check Up,4,06:48,2020,30364,11,2023
Yamaha FZ X,5,Coolant Oil Change,5,08:04,2018,10284,12,2023
Yamaha MT15 v1,3,Coolant Oil Change,17,05:00,2020,37033,1,2023
Yamaha FZ X,12,Brake Fluid Change,13,13:33,2011,16664,3,2023
Yamaha FZ V1,13,Chain Inspection,10,11:45,2010,40259,-1,2023
Yamaha R15 V2,12,Chain Inspection,22,12:26,2011,47922,2,2023
Yamaha MT15 v1,7,Fork Oil Change,14,06:20,2016,22247,11,2023
Yamaha FZ V3,5,Chain Inspection,30,05:34,2018,19281,9,2023
Yamaha FZ V1,0,Coolant Oil Change,20,01:29,2023,36099,9,2023
Yamaha FZ 250,13,Oil Change,24,13:40,2010,31888,9,2023
Yamaha R15 V1,11,Coolant Oil Change,23,09:70,2012,60394,5,2023
Yamaha FZ X,9,Fork Oil Change,17,06:32,2014,39471,1,2023
Yamaha R15 V1,1,Brake Inspection,0,-2:48,2022,12980,9,2023
Yamaha R15 V4,8,Air Filter Change,16,07:-2,2015,5040,7,2023
Yamaha R15 V1,1,Fork Oil Change,4,-1:51,2022,34803,9,2023
Yamaha FZ V1,0,Fork Oil Change,4,03:69,2023,34210,1,2023
Yamaha R15 V3,2,Chain Inspection,29,-1:-14,2021,27530,4,2023
Yamaha MT15 v1,1,Chain Inspection,2,-2:19,2022,14903,9,2023
Yamaha R15 V4,5,Fork Oil Change,18,08:24,2018,10575,3,2023
Yamaha FZ V2,5,Coolant Oil Change,23,05:18,2018,20457,7,2023
Yamaha FZ 250,3,Chain Inspection,2,02:17,2020,10703,-2,2023
Yamaha R15 V1,4,Fork Oil Change,7,04:-3,2019,36696,13,2023
Yamaha MT15 v1,1,Brake Inspection,6,-1:40,2022,7468,10,2023
Yamaha FZ V2,2,Oil Change,20,-1:79,2021,28179,2,2023
Yamaha FZ X,2,Complete Check Up,18,04:24,2021,40339,-1,2023
Yamaha FZ V1,5,Air Filter Change,22,04:18,2018,37236,4,2023
Yamaha FZ V1,4,Complete Check Up,22,09:22,2019,8610,8,2023
Yamaha R15 V4,11,Coolant Oil Change,20,12:65,2012,46843,14,2023
Yamaha R15 V1,10,Brake Inspection,15,09:33,2013,39529,5,2023
Yamaha R15 V2,6,Air Filter Change,10,08:52,2017,30133,11,2023
Yamaha FZ V1,4,Air Filter Change,1,01:53,2019,5631,4,2023
Yamaha MT15 v2,9,Air Filter Change,31,09:23,2014,25839,7,2023
Yamaha MT15 v2,4,Air Filter Change,12,06:-1,2019,38463,4,2023
Yamaha FZ X,5,Brake Inspection,20,06:45,2018,46592,2,2023
Yamaha R15 V3,4,Chain Inspection,5,01:05,2019,39295,10,2023
Yamaha FZ V1,2,Coolant Oil Change,28,03:34,2021,40625,7,2023
Yamaha FZ V1,2,Brake Inspection,7,05:22,2021,27682,9,2023
Yamaha FZ V3,2,Oil Change,18,05:54,2021,26626,4,2023
Yamaha FZ X,10,Complete Check Up,24,18:28,2013,37805,5,2023
Yamaha MT15 v1,10,Complete Check Up,28,23:30,2013,25045,3,2023
Yamaha FZ 250,12,Chain Inspection,25,14:41,2011,47518,2,2023
Yamaha R15 V3,1,Chain Inspection,2,-2:-14,2022,16017,1,2023
Yamaha FZ V3,12,Complete Check Up,8,22:47,2011,55640,10,2023
Yamaha MT15 v1,3,Oil Change,12,06:-13,2020,29242,1,2023
Yamaha FZ V3,11,Oil Change,20,08:24,2012,21660,-2,2023
Yamaha FZ X,6,Brake Inspection,35,03:01,2017,38745,2,2023
Yamaha FZ V2,7,Air Filter Change,30,09:44,2016,38492,4,2023
Yamaha FZ V2,11,Coolant Oil Change,17,14:61,2012,30690,10,2023
Yamaha FZ V3,6,Fork Oil Change,14,05:43,2017,31101,9,2023
Yamaha FZ X,12,Oil Change,6,10:03,2011,58928,7,2023
Yamaha R15 V3,12,Complete Check Up,9,21:13,2011,56508,6,2023
Yamaha R15 V4,7,Chain Inspection,1,09:25,2016,18782,14,2023
Yamaha FZ X,6,Brake Inspection,4,03:11,2017,3073,6,2023
Yamaha FZ 250,6,Fork Oil Change,17,07:41,2017,17491,12,2023
Yamaha R15 V1,2,Oil Change,6,05:10,2021,20330,7,2023
Yamaha R15 V4,0,Fork Oil Change,0,01:31,2023,41083,0,2023
Yamaha MT15 v2,12,Brake Inspection,20,09:43,2011,46998,8,2023
Yamaha R15 V4,11,Complete Check Up,18,19:28,2012,55322,0,2023
Yamaha FZ V1,9,Brake Fluid Change,9,08:-21,2014,51633,-1,2023
Yamaha FZ X,13,Brake Fluid Change,6,15:41,2010,27570,6,2023
Yamaha MT15 v2,13,Air Filter Change,9,11:57,2010,58377,4,2023
Yamaha FZ V2,5,Fork Oil Change,19,08:34,2018,33589,15,2023
Yamaha R15 V4,4,Oil Change,-2,01:38,2019,25174,10,2023
Yamaha R15 V2,0,Brake Fluid Change,7,03:48,2023,40603,10,2023
Yamaha FZ X,7,Brake Fluid Change,14,07:16,2016,44639,4,2023
Yamaha R15 V1,7,Air Filter Change,5,07:56,2016,43621,11,2023
Yamaha FZ 250,11,Coolant Oil Change,31,08:13,2012,38139,11,2023
Yamaha R15 V3,5,Fork Oil Change,-3,03:35,2018,37441,9,2023
Yamaha FZ X,4,Complete Check Up,3,11:17,2019,8960,10,2023
Yamaha R15 V3,7,Coolant Oil Change,14,07:31,2016,6486,6,2023
Yamaha FZ 250,5,Brake Inspection,0,05:20,2018,46742,1,2023
Yamaha FZ 250,11,Coolant Oil Change,8,11:14,2012,18454,1,2023
Yamaha FZ 250,8,Brake Inspection,10,10:63,2015,34758,5,2023
Yamaha MT15 v1,13,Air Filter Change,28,11:80,2010,58626,9,2023
Yamaha R15 V3,0,Brake Inspection,25,01:63,2023,15311,4,2023
Yamaha FZ V2,2,Oil Change,18,00:02,2021,32648,2,2023
Yamaha MT15 v1,1,Fork Oil Change,26,01:12,2022,26270,2,2023
Yamaha R15 V1,0,Chain Inspection,0,03:34,2023,13082,9,2023
Yamaha R15 V4,5,Air Filter Change,4,04:55,2018,17195,-1,2023
Yamaha FZ X,4,Brake Fluid Change,8,07:-20,2019,41280,5,2023
Yamaha R15 V3,0,Brake Inspection,20,-2:-24,2023,27805,11,2023
Yamaha R15 V3,9,Air Filter Change,20,09:49,2014,47831,9,2023
Yamaha R15 V1,5,Coolant Oil Change,-1,03:16,2018,47167,4,2023
Yamaha FZ X,3,Oil Change,12,04:-5,2020,20108,0,2023
Yamaha FZ V3,2,Oil Change,16,02:23,2021,18457,-2,2023
Yamaha R15 V3,3,Chain Inspection,6,05:26,2020,28898,11,2023
Yamaha MT15 v2,8,Oil Change,23,07:51,2015,25660,9,2023
Yamaha MT15 v2,3,Brake Fluid Change,20,05:41,2020,38659,4,2023
Yamaha FZ V3,7,Brake Inspection,25,04:05,2016,6835,7,2023
Yamaha R15 V1,9,Brake Inspection,6,11:34,2014,19715,0,2023
Yamaha FZ 250,7,Coolant Oil Change,19,04:47,2016,38037,6,2023
Yamaha R15 V4,5,Fork Oil Change,3,04:18,2018,10033,6,2023
Yamaha R15 V2,3,Oil Change,18,06:43,2020,29381,10,2023
Yamaha MT15 v2,11,Brake Fluid Change,16,10:05,2012,7667,6,2023
Yamaha MT15 v1,5,Chain Inspection,18,03:-8,2018,23381,9,2023
Yamaha R15 V1,9,Oil Change,14,12:22,2014,34192,5,2023
Yamaha MT15 v1,12,Fork Oil Change,29,09:34,2011,61454,12,2023
Yamaha FZ 250,3,Fork Oil Change,19,04:29,2020,22671,14,2023
Yamaha FZ V3,3,Brake Fluid Change,-1,04:-16,2020,41106,3,2023
Yamaha R15 V2,11,Brake Fluid Change,14,13:50,2012,46742,2,2023
Yamaha FZ 250,8,Fork Oil Change,15,05:43,2015,53369,3,2023
Yamaha FZ V2,13,Brake Inspection,12,16:56,2010,28414,6,2023
Yamaha FZ V2,11,Chain Inspection,24,14:48,2012,24166,1,2023
Yamaha MT15 v2,6,Fork Oil Change,2,07:03,2017,43484,8,2023
Yamaha R15 V1,1,Oil Change,18,-2:30,2022,8051,6,2023
Yamaha FZ V1,2,Chain Inspection,2,05:33,2021,24539,7,2023
Yamaha MT15 v2,1,Fork Oil Change,6,-1:27,2022,24818,4,2023
Yamaha R15 V3,10,Air Filter Change,8,09:38,2013,46986,4,2023
Yamaha FZ V2,11,Brake Inspection,19,11:50,2012,22392,13,2023
Yamaha R15 V1,3,Air Filter Change,13,06:-23,2020,23363,7,2023
Yamaha R15 V3,7,Complete Check Up,16,14:-5,2016,55345,8,2023
Yamaha MT15 v1,2,Complete Check Up,-2,02:02,2021,21528,5,2023
Yamaha MT15 v2,10,Fork Oil Change,18,07:30,2013,49430,12,2023
Yamaha FZ X,3,Brake Fluid Change,20,02:42,2020,17395,7,2023
Yamaha FZ V1,12,Fork Oil Change,11,15:00,2011,57890,3,2023
Yamaha FZ V1,8,Brake Fluid Change,23,05:-2,2015,5249,1,2023
Yamaha FZ X,12,Oil Change,9,10:15,2011,45233,3,2023
Yamaha FZ X,13,Coolant Oil Change,6,14:32,2010,22043,2,2023
Yamaha FZ 250,13,Air Filter Change,1,14:-24,2010,51684,4,2023
Yamaha R15 V1,13,Brake Fluid Change,30,14:33,2010,54316,5,2023
Yamaha R15 V4,12,Brake Fluid Change,33,12:26,2011,29643,1,2023
Yamaha R15 V3,12,Brake Inspection,11,11:67,2011,21081,8,2023
Yamaha FZ V2,3,Complete Check Up,35,08:61,2020,10716,0,2023
Yamaha MT15 v1,2,Brake Fluid Change,21,04:11,2021,30640,5,2023
Yamaha R15 V2,3,Fork Oil Change,3,04:24,2020,32592,5,2023
Yamaha R15 V1,8,Fork Oil Change,19,09:23,2015,17588,12,2023
Yamaha R15 V1,0,Brake Inspection,30,-1:22,2023,43822,4,2023
Yamaha MT15 v1,9,Coolant Oil Change,3,06:-11,2014,8667,10,2023
Yamaha MT15 v1,12,Fork Oil Change,6,14:09,2011,52937,8,2023
Yamaha FZ 250,10,Fork Oil Change,23,12:30,2013,24947,8,2023
Yamaha FZ V2,6,Chain Inspection,33,03:01,2017,42114,7,2023
Yamaha FZ V1,4,Brake Inspection,9,02:-14,2019,37262,9,2023
Yamaha R15 V3,5,Air Filter Change,26,08:68,2018,31325,4,2023
Yamaha FZ V1,0,Air Filter Change,17,-1:47,2023,26699,8,2023
Yamaha FZ V1,6,Coolant Oil Change,11,06:54,2017,45498,12,2023
Yamaha FZ V2,12,Chain Inspection,18,14:36,2011,46289,10,2023
Yamaha R15 V1,5,Chain Inspection,31,03:60,2018,32688,11,2023
Yamaha R15 V3,13,Fork Oil Change,-1,12:55,2010,11247,6,2023
Yamaha FZ V2,7,Air Filter Change,-1,06:35,2016,40665,5,2023
Yamaha R15 V3,0,Fork Oil Change,20,-2:38,2023,18998,10,2023
Yamaha FZ V2,11,Brake Fluid Change,19,10:21,2012,8121,3,2023
Yamaha FZ V2,4,Air Filter Change,11,02:-4,2019,27281,7,2023
Yamaha FZ X,1,Brake Fluid Change,18,-2:-19,2022,13220,0,2023
Yamaha R15 V4,8,Fork Oil Change,0,06:24,2015,49875,15,2023
Yamaha FZ V1,1,Brake Fluid Change,22,-1:37,2022,31889,-1,2023
Yamaha FZ X,8,Air Filter Change,16,10:68,2015,23200,11,2023
Yamaha R15 V4,0,Coolant Oil Change,14,-3:-7,2023,32768,11,2023
Yamaha FZ V1,13,Coolant Oil Change,24,11:22,2010,46026,7,2023
Yamaha FZ 250,0,Oil Change,1,-1:09,2023,41994,10,2023
Yamaha R15 V2,5,Coolant Oil Change,-3,02:16,2018,38671,5,2023
Yamaha FZ X,2,Fork Oil Change,-2,01:-5,2021,9462,8,2023
Yamaha R15 V3,1,Brake Fluid Change,23,01:40,2022,1453,5,2023
Yamaha R15 V2,11,Air Filter Change,4,14:-4,2012,40427,10,2023
Yamaha R15 V2,11,Air Filter Change,10,11:21,2012,60333,2,2023
Yamaha R15 V4,8,Brake Inspection,8,06:43,2015,35512,3,2023
Yamaha FZ V2,8,Coolant Oil Change,27,05:60,2015,44673,9,2023
Yamaha R15 V4,0,Complete Check Up,16,-2:32,2023,12147,-2,2023
Yamaha FZ 250,0,Brake Fluid Change,23,-1:71,2023,2354,5,2023
Yamaha R15 V3,10,Fork Oil Change,34,13:73,2013,12788,7,2023
Yamaha MT15 v1,9,Brake Fluid Change,16,06:20,2014,46739,9,2023
Yamaha FZ V3,8,Oil Change,5,05:12,2015,46000,8,2023
Yamaha MT15 v1,0,Brake Inspection,20,-1:49,2023,17193,9,2023
Yamaha FZ V3,5,Fork Oil Change,6,04:22,2018,44024,0,2023
Yamaha FZ V3,0,Oil Change,29,02:50,2023,25534,4,2023
Yamaha FZ V1,1,Brake Fluid Change,13,00:-21,2022,20803,3,2023
Yamaha R15 V3,2,Brake Inspection,23,-1:30,2021,16128,12,2023
Yamaha MT15 v2,1,Air Filter Change,15,00:70,2022,30330,1,2023
Yamaha FZ X,7,Complete Check Up,26,11:42,2016,13024,8,2023
Yamaha R15 V2,10,Complete Check Up,12,23:46,2013,41024,5,2023
Yamaha MT15 v1,10,Chain Inspection,7,08:51,2013,36586,13,2023
Yamaha R15 V3,1,Coolant Oil Change,30,-1:48,2022,18511,7,2023
Yamaha MT15 v2,12,Coolant Oil Change,9,12:63,2011,69751,1,2023
Yamaha FZ V1,12,Coolant Oil Change,16,13:22,2011,36118,1,2023
Yamaha FZ V3,11,Chain Inspection,-1,13:62,2012,60504,5,2023
Yamaha FZ X,11,Chain Inspection,35,09:34,2012,39375,7,2023
Yamaha R15 V4,12,Air Filter Change,8,15:64,2011,42936,11,2023
Yamaha R15 V1,7,Chain Inspection,11,09:35,2016,48925,13,2023
Yamaha R15 V4,12,Oil Change,23,10:-8,2011,23690,9,2023
Yamaha FZ V3,7,Air Filter Change,12,10:31,2016,30864,10,2023
Yamaha FZ 250,12,Brake Inspection,2,11:06,2011,59822,14,2023
Yamaha MT15 v2,8,Fork Oil Change,-3,05:-8,2015,51835,6,2023
Yamaha R15 V1,5,Oil Change,12,02:39,2018,17764,7,2023
Yamaha R15 V2,10,Coolant Oil Change,32,09:25,2013,41170,6,2023
Yamaha MT15 v2,6,Chain Inspection,24,09:36,2017,47556,7,2023
Yamaha R15 V4,8,Oil Change,19,06:08,2015,31890,13,2023
Yamaha R15 V4,3,Brake Fluid Change,9,05:02,2020,14866,10,2023
Yamaha FZ V2,1,Complete Check Up,13,-1:27,2022,40618,8,2023
Yamaha FZ V3,6,Brake Inspection,20,06:29,2017,47396,8,2023
Yamaha FZ V1,8,Air Filter Change,18,11:40,2015,47694,3,2023
Yamaha R15 V2,3,Complete Check Up,5,03:48,2020,37096,7,2023
Yamaha FZ V3,6,Coolant Oil Change,11,06:13,2017,32610,10,2023
Yamaha MT15 v2,13,Coolant Oil Change,16,10:75,2010,59498,2,2023
Yamaha FZ X,3,Fork Oil Change,13,03:46,2020,35442,12,2023
Yamaha R15 V4,7,Oil Change,14,04:26,2016,36659,5,2023
Yamaha FZ 250,6,Fork Oil Change,25,03:32,2017,4551,4,2023
Yamaha FZ 250,5,Oil Change,18,02:32,2018,33275,6,2023
Yamaha MT15 v2,2,Brake Fluid Change,25,04:08,2021,3290,10,2023
Yamaha FZ X,7,Brake Inspection,7,08:53,2016,14572,9,2023
Yamaha FZ V2,13,Oil Change,11,12:10,2010,25436,12,2023
Yamaha FZ V2,10,Complete Check Up,20,22:-7,2013,25863,6,2023
Yamaha MT15 v2,10,Brake Fluid Change,-3,10:23,2013,64468,14,2023
Yamaha MT15 v2,4,Air Filter Change,14,01:57,2019,21627,9,2023
Yamaha MT15 v1,1,Brake Inspection,-1,00:-6,2022,20705,8,2023
Yamaha R15 V2,2,Chain Inspection,17,03:52,2021,25573,2,2023
Yamaha FZ V3,3,Complete Check Up,-3,05:19,2020,11043,1,2023
Yamaha MT15 v2,10,Fork Oil Change,14,13:35,2013,41345,11,2023
Yamaha FZ X,0,Coolant Oil Change,14,00:14,2023,9884,13,2023
Yamaha FZ 250,9,Brake Fluid Change,13,06:37,2014,23251,12,2023
Yamaha R15 V3,8,Coolant Oil Change,23,05:66,2015,52096,-2,2023
Yamaha FZ V3,3,Fork Oil Change,23,03:32,2020,30806,6,2023
Yamaha FZ X,10,Complete Check Up,17,20:-6,2013,31919,8,2023
Yamaha R15 V3,11,Fork Oil Change,2,12:45,2012,46360,8,2023
Yamaha R15 V3,6,Coolant Oil Change,3,03:30,2017,10603,-1,2023
Yamaha R15 V1,4,Oil Change,18,07:06,2019,7941,3,2023
Yamaha FZ V1,0,Oil Change,28,-3:-15,2023,29431,-2,2023
Yamaha MT15 v2,8,Brake Fluid Change,25,08:-9,2015,32807,6,2023
Yamaha R15 V4,0,Fork Oil Change,-1,02:24,2023,19479,10,2023
Yamaha MT15 v1,10,Chain Inspection,20,11:22,2013,23430,4,2023
Yamaha R15 V2,5,Complete Check Up,2,07:12,2018,5124,4,2023
Yamaha R15 V4,8,Coolant Oil Change,24,11:00,2015,25455,13,2023
Yamaha R15 V2,12,Brake Fluid Change,2,15:17,2011,58776,10,2023
Yamaha FZ V3,4,Air Filter Change,23,06:19,2019,38470,9,2023
Yamaha R15 V4,3,Brake Inspection,6,03:38,2020,19629,5,2023
Yamaha R15 V4,12,Chain Inspection,27,11:39,2011,64428,5,2023
Yamaha FZ V3,2,Fork Oil Change,11,00:02,2021,1562,7,2023
Yamaha R15 V2,5,Oil Change,17,07:57,2018,7468,12,2023
Yamaha MT15 v1,8,Brake Inspection,22,07:49,2015,21732,2,2023
Yamaha MT15 v1,8,Brake Inspection,17,06:35,2015,22139,2,2023
Yamaha FZ 250,6,Complete Check Up,20,13:-23,2017,29238,5,2023
Yamaha FZ V3,6,Coolant Oil Change,8,03:38,2017,49825,4,2023
Yamaha FZ V1,3,Air Filter Change,11,04:14,2020,15493,4,2023
Yamaha MT15 v1,11,Brake Inspection,16,11:45,2012,52711,13,2023
Yamaha R15 V1,13,Complete Check Up,0,23:-16,2010,9202,9,2023
Yamaha FZ X,1,Coolant Oil Change,23,01:-5,2022,24132,12,2023
Yamaha R15 V3,8,Brake Fluid Change,33,10:29,2015,16075,3,2023
Yamaha R15 V1,10,Fork Oil Change,5,09:28,2013,32054,10,2023
Yamaha FZ 250,6,Brake Fluid Change,4,07:50,2017,16718,14,2023
Yamaha R15 V2,6,Brake Fluid Change,30,09:48,2017,29756,14,2023
Yamaha R15 V4,5,Chain Inspection,18,02:-11,2018,37962,9,2023
Yamaha FZ V2,5,Brake Fluid Change,34,06:13,2018,27167,11,2023
Yamaha FZ 250,9,Chain Inspection,12,08:46,2014,37094,7,2023
Yamaha R15 V1,8,Air Filter Change,15,09:79,2015,47595,5,2023
Yamaha R15 V2,5,Fork Oil Change,7,06:28,2018,36260,5,2023
Yamaha FZ V1,0,Coolant Oil Change,25,-2:33,2023,9849,10,2023
Yamaha FZ 250,1,Coolant Oil Change,7,-1:34,2022,35110,8,2023
Yamaha R15 V2,3,Air Filter Change,16,04:77,2020,7619,14,2023
Yamaha FZ V2,4,Chain Inspection,16,07:12,2019,31966,10,2023
Yamaha FZ V2,3,Oil Change,20,01:48,2020,16457,12,2023
Yamaha FZ X,4,Fork Oil Change,16,06:48,2019,26344,6,2023
Yamaha MT15 v2,2,Brake Fluid Change,10,00:-21,2021,10383,3,2023
Yamaha R15 V3,8,Brake Fluid Change,27,08:66,2015,36066,3,2023
Yamaha MT15 v2,13,Coolant Oil Change,26,11:42,2010,61020,7,2023
Yamaha R15 V4,12,Coolant Oil Change,18,15:01,2011,19649,1,2023
Yamaha FZ X,0,Brake Inspection,21,03:57,2023,29250,13,2023
Yamaha R15 V4,10,Oil Change,4,11:-10,2013,42354,5,2023
Yamaha FZ X,10,Complete Check Up,16,19:26,2013,50955,9,2023
Yamaha FZ V3,3,Chain Inspection,8,05:-1,2020,27834,8,2023
Yamaha MT15 v1,10,Air Filter Change,9,11:77,2013,32847,1,2023
Yamaha FZ 250,0,Oil Change,16,-3:48,2023,20963,4,2023
Yamaha FZ X,10,Air Filter Change,0,07:26,2013,6325,2,2023
Yamaha FZ V3,1,Chain Inspection,15,01:00,2022,16674,0,2023
Yamaha MT15 v2,6,Brake Fluid Change,30,06:31,2017,32167,10,2023
Yamaha FZ V2,2,Complete Check Up,11,03:68,2021,3872,8,2023
Yamaha FZ X,2,Chain Inspection,20,04:28,2021,42623,-2,2023
Yamaha R15 V3,8,Chain Inspection,23,10:54,2015,59479,6,2023
Yamaha MT15 v1,13,Brake Fluid Change,15,11:81,2010,27295,-2,2023
Yamaha FZ V2,4,Coolant Oil Change,23,03:18,2019,30362,2,2023
Yamaha FZ V2,9,Brake Inspection,17,10:40,2014,12153,3,2023
Yamaha FZ V2,6,Complete Check Up,18,09:15,2017,44551,7,2023
Yamaha FZ V1,11,Fork Oil Change,13,11:73,2012,61878,-2,2023
Yamaha FZ X,5,Oil Change,22,08:84,2018,14285,11,2023
Yamaha FZ V3,8,Fork Oil Change,18,10:46,2015,33601,2,2023
Yamaha R15 V1,5,Chain Inspection,16,04:22,2018,17869,7,2023
Yamaha FZ X,0,Complete Check Up,5,02:16,2023,2499,3,2023
Yamaha R15 V4,10,Coolant Oil Change,23,07:03,2013,49217,-1,2023
Yamaha R15 V2,7,Brake Fluid Change,11,08:38,2016,22003,8,2023
Yamaha R15 V3,4,Air Filter Change,24,03:71,2019,42696,12,2023
Yamaha MT15 v2,3,Oil Change,2,02:46,2020,27136,10,2023
Yamaha R15 V3,13,Brake Inspection,25,10:70,2010,66665,4,2023
Yamaha FZ V1,8,Brake Fluid Change,1,06:49,2015,26400,5,2023
Yamaha FZ V1,12,Chain Inspection,13,14:12,2011,48614,-1,2023
Yamaha MT15 v1,3,Brake Inspection,2,06:63,2020,10130,1,2023
Yamaha R15 V1,11,Chain Inspection,7,10:-10,2012,31734,14,2023
Yamaha R15 V1,1,Coolant Oil Change,10,02:28,2022,4408,8,2023
Yamaha FZ X,2,Oil Change,9,04:18,2021,1701,9,2023
Yamaha FZ V3,2,Brake Fluid Change,6,01:08,2021,9404,7,2023
Yamaha R15 V4,3,Oil Change,8,04:07,2020,26839,9,2023
Yamaha FZ V2,6,Brake Fluid Change,5,06:77,2017,21606,0,2023
Yamaha FZ X,0,Oil Change,5,00:26,2023,32502,10,2023
Yamaha FZ V1,2,Chain Inspection,28,04:-15,2021,25908,7,2023
Yamaha FZ V1,11,Brake Inspection,27,08:44,2012,21697,4,2023
Yamaha R15 V1,1,Coolant Oil Change,6,01:05,2022,38550,2,2023
Yamaha R15 V3,9,Fork Oil Change,13,09:31,2014,16557,3,2023
Yamaha MT15 v1,0,Brake Inspection,21,-1:-23,2023,31984,7,2023
Yamaha R15 V2,1,Brake Fluid Change,22,03:16,2022,30184,3,2023
Yamaha R15 V3,11,Brake Inspection,18,10:-19,2012,22207,6,2023
Yamaha R15 V4,9,Brake Inspection,14,10:19,2014,31789,7,2023
Yamaha FZ V1,7,Oil Change,35,08:36,2016,29767,9,2023
Yamaha MT15 v1,12,Air Filter Change,28,15:20,2011,57436,13,2023
Yamaha MT15 v2,2,Fork Oil Change,5,-1:41,2021,40693,9,2023
Yamaha MT15 v2,3,Brake Fluid Change,0,00:-7,2020,6441,12,2023
Yamaha R15 V4,13,Fork Oil Change,21,12:-13,2010,35408,6,2023
Yamaha FZ V2,11,Brake Fluid Change,5,12:22,2012,31469,1,2023
Yamaha R15 V4,9,Brake Fluid Change,6,06:53,2014,44251,4,2023
Yamaha MT15 v2,7,Oil Change,4,07:-21,2016,44334,11,2023
Yamaha FZ V2,9,Chain Inspection,3,11:27,2014,26953,8,2023
Yamaha FZ V3,5,Brake Fluid Change,14,02:04,2018,1792,8,2023
Yamaha R15 V1,11,Fork Oil Change,29,11:38,2012,12484,13,2023
Yamaha FZ V2,12,Complete Check Up,5,26:37,2011,12574,3,2023
Yamaha R15 V2,5,Complete Check Up,26,13:-17,2018,9038,8,2023
Yamaha FZ V2,0,Brake Fluid Change,13,00:19,2023,33348,11,2023
Yamaha FZ V2,12,Complete Check Up,8,26:-11,2011,35638,7,2023
Yamaha R15 V2,11,Oil Change,10,09:20,2012,54890,8,2023
